email_date,filename
"2024-11-12","2024-11-12 - OCTOBER 2024 COLLECTIONS CAPPS BATAVIA.xlsx"
"2024-12-09","2024-12-09 - November 2024 Capps.xlsx"
"2025-01-07","2025-01-07 - DEC 2024 CAPPS BATAVIA 567CAP.xlsx"
"2025-02-11","2025-02-11 - JAN 2025 CAPPS BATAVIA.xlsx"
"2025-03-05","2025-03-05 - FEB 2025 CURRENT CAPPS BATAVIA.xlsx"
"2025-03-05","2025-03-05 - FEB 2025 DLQ CAPPS BATAVIA.xlsx"
"2025-04-07","2025-04-07 - MARCH 2024 CAPPS BATAVIA.xlsx"
"2025-05-05","2025-05-05 - CAPPS BATAVIA.xlsx"
"2025-05-28","2025-05-28 - 2022 unpaid Capps.xlsx"
"2025-06-05","2025-06-05 - CAPPS.xlsx"
"2025-07-07","2025-07-07 - 2024 CAPPS BATAVIA.xlsx"
"2025-08-05","2025-08-05 - JULY 2024 CAPPS BATAVIA FD.xlsx"
"2025-09-05","2025-09-05 - 2024 CAPPS BATAVIA FIRE DUES.xlsx"
"2025-10-06","2025-10-06 - SEP 2024 CAPPS BATAVIA FIRE DUES.xlsx"
"2025-11-07","2025-11-07 - 2024 CAPPS BATAVIA FIRE DUES.xlsx"
"2025-12-05","2025-12-05 - NOVEMBER 2025 CAPPS BATAVIA FIRE DUES.xlsx"
"2026-01-08","2026-01-08 - 2025 CAPPS BATAVIA FIRE DUES.xlsx"
"2026-02-23","2026-02-23 - JANUARY 2026 CAPPS BATAVIA FIRE DUES.xlsx"
"2026-03-05","2026-03-05 - FEBRUARY 2024 DELINQUENT CAPPS BATAVIA FIRE DUES.xlsx"
"2026-03-05","2026-03-05 - FEBRUARY 2025 CURRENT CAPPS BATAVIA FIRE DUES.xlsx"
"2026-04-08","2026-04-08 - MARCH 2026 CAPPS BATAVIA FIRE DUES.xlsx"
"2026-04-08","2026-04-08 - MARCH 2026 DLQ CAPPS BATAVIA FIRE DUES.xlsx"
"2026-05-04","2026-05-04 - APRIL 2026 CURRENT CAPPS BATAVIA FIRE DUES.xlsx"
"2026-05-04","2026-05-04 - APRIL 2026 DLQ CAPPS BATAVIA FIRE DUES.xlsx"
"2026-06-10","2026-06-10 - MAY 2026 CURRENT CAPPS BATAVIA FIRE DUES.xlsx"
"2026-06-10","2026-06-10 - MAY 2026 DLQ CAPPS BATAVIA FIRE DUES.xlsx"
